time,battery_current(A),battery_voltage(V),controller_temperature(C),dump_load_current(A),output_current(A),solar_current(A),solar_voltage(V),total_solar_production(Wh),total_wind_turbine_production(Wh),wind_charge_current(A),wind_turbine(RPM),wind_voltage(V)
2020-07-30 22:00:00+03:00,-125.99999999999986,1517.9999999999984,1853.0999999999995,0.0,114.00000000000011,0.0,23.99999999999998,499367.99999999953,13222.999999999985,0.30000000000000004,145,94.90000000000003
2020-07-30 23:00:00+03:00,-125.99999999999986,1517.9999999999984,1789.0000000000002,0.0,114.00000000000011,0.0,23.99999999999998,499367.99999999953,13223.999999999987,0.2,20,46.70000000000001
2020-07-31 00:00:00+03:00,-115.49999999999994,1439.700000000001,1720.2,0.0,108.5000000000001,0.0,22.799999999999983,474399.59999999957,12617.700000000004,15.899999999999997,964,393.00000000000006
2020-07-31 01:00:00+03:00,-120.40000000000012,1512.5000000000014,1883.7999999999997,0.0,114.20000000000012,0.0,23.89999999999998,499367.99999999953,13452.9,17.00000000000001,1106,493.0
2020-07-31 02:00:00+03:00,-120.69999999999997,1486.4000000000008,1883.7000000000003,0.6,112.10000000000011,0.0,23.59999999999998,491045.19999999955,13378.700000000004,21.40000000000001,952,459.69999999999993
2020-07-31 03:00:00+03:00,-128.40000000000012,1481.699999999999,1874.7999999999997,0.0,112.10000000000011,0.0,23.59999999999998,491045.19999999955,13530.599999999993,8.699999999999996,808,364.99999999999994
2020-07-31 04:00:00+03:00,-125.10000000000011,1430.6999999999991,1754.0000000000005,0.0,108.3000000000001,0.0,22.799999999999983,474399.59999999957,13121.0,2.7,623,299.6000000000001
2020-07-31 05:00:00+03:00,-116.6000000000001,1427.4,1802.5000000000005,0.0,108.40000000000009,0.0,25.799999999999997,474399.59999999957,13286.099999999997,19.5,1046,452.6999999999999
2020-07-31 06:00:00+03:00,-17.89999999999998,1520.0000000000011,1839.9999999999995,0.0,17.1,0.9999999999999999,1205.3999999999996,499369.79999999964,14099.800000000017,4.0,468,224.80000000000004
2020-07-31 07:00:00+03:00,10.299999999999999,1532.4999999999984,1839.8999999999996,0.0,0.0,10.199999999999998,1569.8000000000018,499492.4000000001,14119.699999999988,1.2,524,222.8
2020-07-31 08:00:00+03:00,19.299999999999997,1539.2000000000016,2007.9999999999998,0.0,0.0,19.299999999999997,1578.2999999999995,499844.3000000002,14130.0,1.8000000000000005,674,271.49999999999994
2020-07-31 09:00:00+03:00,33.10000000000001,1522.0000000000002,2162.1000000000004,0.0,0.0,33.00000000000001,1562.1999999999987,492106.0000000001,13900.999999999985,1.0999999999999999,663,302.6000000000001
2020-07-31 10:00:00+03:00,143.50000000000006,1571.2000000000012,2420.1000000000013,0.0,0.0,140.90000000000003,1622.2999999999997,502420.3000000001,14165.700000000017,5.899999999999999,831,405.4000000000001
2020-07-31 11:00:00+03:00,272.0,1591.8000000000004,2625.2999999999984,0.0,0.0,261.70000000000005,1646.1000000000006,507903.10000000003,14222.399999999996,12.799999999999997,920,418.90000000000003
2020-07-31 12:00:00+03:00,341.5,1564.4999999999998,2696.8999999999987,0.4,0.0,330.9,1620.1999999999996,498750.09999999974,13887.00000000001,19.099999999999998,777,345.49999999999983
2020-07-31 13:00:00+03:00,328.60000000000014,1650.9999999999984,2775.3,0.0,0.0,303.9,1837.3999999999994,508972.0000000001,14018.600000000013,17.2,0,45.5
2020-07-31 14:00:00+03:00,98.49999999999994,1688.7999999999993,2780.600000000001,0.0,0.0,82.69999999999996,2120.7000000000003,532522.0,14502.000000000015,12.399999999999999,0,44.2
2020-07-31 15:00:00+03:00,26.200000000000006,1593.8,2655.6000000000004,0.0,0.0,21.9,2101.9000000000005,525145.2000000001,14260.300000000014,11.499999999999996,0,38.49999999999999
2020-07-31 16:00:00+03:00,14.999999999999991,1593.0,2714.1,0.0,0.0,14.799999999999992,2092.6000000000004,525775.5,14260.300000000014,7.699999999999999,0,26.700000000000003
2020-07-31 17:00:00+03:00,11.59999999999999,1539.0,2610.899999999999,0.0,0.0,11.59999999999999,2029.2999999999993,508394.2,13776.900000000012,5.699999999999999,0,24.3
2020-07-31 18:00:00+03:00,11.299999999999992,1620.0,2614.5000000000005,0.0,0.0,11.399999999999991,2140.0,535567.9,14502.000000000015,2.5000000000000004,0,16.0
2020-07-31 19:00:00+03:00,9.799999999999995,1620.0,2435.8,0.0,0.0,9.799999999999995,2087.3,535937.4,14502.000000000015,0.7999999999999999,0,8.2
2020-07-31 20:00:00+03:00,-11.599999999999998,1595.400000000001,2214.8000000000006,0.0,13.3,3.100000000000001,1395.7000000000003,536168.8000000006,14502.000000000015,0.0,0,0.0
2020-07-31 21:00:00+03:00,-121.79999999999987,1467.1999999999985,1948.5000000000002,0.0,110.2000000000001,0.0,29.399999999999956,518311.20000000054,14018.600000000013,0.0,0,0.0
2020-07-31 22:00:00+03:00,-123.89999999999986,1492.6999999999985,1836.3000000000006,0.0,112.10000000000011,0.0,23.69999999999998,527247.6000000006,14260.300000000014,0.0,0,0.0
2020-07-31 23:00:00+03:00,-123.89999999999986,1492.6999999999985,1741.2000000000003,0.0,112.10000000000011,0.0,23.59999999999998,527247.6000000006,14260.300000000014,0.0,0,0.0
2020-08-01 00:00:00+03:00,-127.70000000000012,1488.900000000002,1666.7000000000005,0.0,112.10000000000011,0.0,23.59999999999998,527247.6000000006,14260.300000000014,0.0,0,0.0
2020-08-01 01:00:00+03:00,-120.19999999999993,1411.2000000000014,1528.9999999999993,0.0,106.40000000000009,0.0,22.399999999999984,500438.4000000005,13535.200000000012,0.0,0,0.0
2020-08-01 02:00:00+03:00,-121.19999999999993,1436.4000000000015,1524.7,0.0,108.3000000000001,0.0,22.799999999999983,509374.8000000005,13776.900000000012,0.0,0,0.0
2020-08-01 03:00:00+03:00,-132.00000000000009,1506.399999999999,1571.6999999999994,0.0,114.00000000000011,0.0,23.99999999999998,536184.0000000006,14502.000000000015,0.0,0,0.0
2020-08-01 04:00:00+03:00,-129.8000000000001,1480.899999999999,1527.9000000000003,0.0,112.10000000000011,0.0,23.59999999999998,527247.6000000006,14260.300000000014,0.0,0,0.0
2020-08-01 05:00:00+03:00,-127.60000000000011,1452.9000000000003,1501.3,0.0,110.2000000000001,0.0,25.299999999999997,518311.20000000054,14018.600000000013,0.0,0,0.0
2020-08-01 06:00:00+03:00,-20.89999999999998,1494.5000000000007,1519.6000000000004,0.0,19.0,1.0999999999999999,1140.9999999999995,527249.1000000003,14260.300000000014,0.0,0,0.0
2020-08-01 07:00:00+03:00,12.800000000000015,1507.3999999999985,1587.3000000000002,0.0,0.0,12.800000000000015,1545.4000000000005,527394.6,14260.300000000014,0.0,0,0.0
2020-08-01 08:00:00+03:00,24.500000000000007,1517.4,1826.8999999999999,0.0,0.0,24.500000000000007,1554.9000000000012,527848.7,14260.300000000014,0.0,0,0.0
2020-08-01 09:00:00+03:00,43.599999999999994,1552.200000000001,2185.3,0.0,0.0,43.49999999999999,1594.1999999999998,537625.5,14502.000000000015,0.0,0,0.0
2020-08-01 10:00:00+03:00,145.4,1571.0000000000011,2474.8,0.0,0.0,142.20000000000002,1625.4000000000008,539647.6000000001,14502.000000000015,0.0,0,26.40000000000001
2020-08-01 11:00:00+03:00,264.6000000000001,1591.9999999999989,2709.7000000000003,0.0,0.0,258.6,1647.5999999999997,545602.2000000001,14502.000000000015,0.0,0,34.19999999999999
2020-08-01 12:00:00+03:00,362.1999999999999,1593.5000000000002,2829.500000000001,0.0,0.0,351.90000000000015,1652.5999999999995,544705.8,14260.300000000014,0.0,0,47.30000000000001
2020-08-01 13:00:00+03:00,311.7000000000001,1662.5999999999988,2926.1999999999994,0.0,0.0,285.30000000000007,1869.1000000000006,554768.4,14361.999999999985,21.899999999999995,315,167.79999999999998
2020-08-01 14:00:00+03:00,62.90000000000002,1593.0,2686.2000000000003,0.0,0.0,49.39999999999996,2124.7000000000003,559407.9999999999,14390.099999999986,21.599999999999994,0,56.70000000000002
2020-08-01 15:00:00+03:00,36.80000000000001,1620.0,2644.5,0.0,0.0,29.89999999999999,2155.9999999999995,570281.5,14633.999999999985,26.59999999999999,0,59.00000000000002
2020-08-01 16:00:00+03:00,27.600000000000005,1566.1,2508.9999999999995,0.0,0.0,23.199999999999996,2058.8000000000006,552110.9000000001,14146.199999999986,23.099999999999994,0,53.70000000000002
2020-08-01 17:00:00+03:00,17.600000000000012,1619.9,2405.399999999999,0.0,0.0,16.800000000000008,2008.899999999999,571779.8,14633.999999999985,26.200000000000003,0,57.30000000000001
2020-08-01 18:00:00+03:00,12.19999999999999,1593.0,2198.2,0.0,0.0,12.19999999999999,2092.8999999999996,562720.7000000001,14390.099999999986,1.5,0,8.3
2020-08-01 19:00:00+03:00,16.5,1600.3999999999996,2238.6000000000004,0.0,0.0,16.5,1936.5999999999995,563137.4000000001,14390.099999999986,0.0,0,0.0
2020-08-01 20:00:00+03:00,-18.8,1588.900000000001,2146.5000000000005,0.0,18.4,1.5000000000000004,1241.3999999999999,572985.2999999998,14633.999999999985,0.0,0,0.0
2020-08-01 21:00:00+03:00,-121.69999999999987,1467.1999999999985,1913.1000000000004,0.0,110.2000000000001,0.0,25.899999999999974,553888.3999999997,14150.500000000002,2.5000000000000004,316,179.8
2020-08-01 22:00:00+03:00,-125.99999999999986,1517.9999999999984,1897.6000000000001,0.0,114.00000000000011,0.0,23.99999999999998,572987.9999999998,14646.000000000015,0.0,13,28.399999999999995
2020-08-01 23:00:00+03:00,-119.69999999999987,1442.0999999999985,1715.4999999999998,0.0,108.3000000000001,0.0,22.799999999999983,544338.5999999996,13913.700000000013,0.0,0,0.0
2020-08-02 00:00:00+03:00,-125.99999999999986,1513.3000000000018,1737.1999999999996,0.0,114.00000000000011,0.0,23.99999999999998,572987.9999999998,14646.000000000015,0.0,0,0.0
2020-08-02 01:00:00+03:00,-127.69999999999996,1512.0000000000016,1734.0000000000002,0.0,114.00000000000011,0.0,23.99999999999998,572987.9999999998,14646.000000000015,0.1,0,40.5
2020-08-02 02:00:00+03:00,-126.29999999999988,1511.7000000000012,1773.1,0.0,114.00000000000011,0.0,23.99999999999998,572987.9999999998,14646.000000000015,0.0,0,3.8
2020-08-02 03:00:00+03:00,-129.8000000000001,1480.899999999999,1701.4000000000003,0.0,112.10000000000011,0.0,23.59999999999998,563438.1999999997,14401.900000000014,0.0,29,20.399999999999995
2020-08-02 04:00:00+03:00,-129.8000000000001,1480.899999999999,1696.1000000000008,0.0,112.10000000000011,0.0,23.59999999999998,563438.1999999997,14409.199999999983,1.2,450,232.80000000000004
2020-08-02 05:00:00+03:00,-132.00000000000009,1500.6,1731.2999999999993,0.0,114.00000000000011,0.0,25.19999999999999,572987.9999999998,14657.999999999985,0.30000000000000004,39,27.3
