time,area,battery_current(A),battery_voltage(V),controller_temperature(C),dump_load_current(A),id,output_current(A),solar_current(A),solar_voltage(V),total_solar_production(Wh),total_wind_turbine_production(Wh),wind_charge_current(A),wind_turbine(RPM),wind_voltage(V)
2020-07-23 14:13:00+03:00,Demokritos,0.0,0.0,0.0,0.0,a84041000181aef1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2020-07-23 14:14:00+03:00,Demokritos,0.0,0.0,0.0,0.0,a84041000181aef1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2020-07-23 14:15:00+03:00,Demokritos,0.0,0.0,0.0,0.0,a84041000181aef1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
